Time period;Freight operating companies: Manual handling;London Underground Limited: Manual handling;Network Rail: Manual handling;Network Rail contractors: Manual handling;Other contractors: Manual handling;Train operating companies: Manual handling;Total: Manual handling;Freight operating companies: Shock or trauma;London Underground Limited: Shock or trauma;Network Rail: Shock or trauma;Network Rail contractors: Shock or trauma;Other contractors: Shock or trauma;Train operating companies: Shock or trauma;Total: Shock or trauma
Apr to Jun 2012;0;11;60;3;3;26;60;3;18;0;1;0;67;89
Jul to Sep 2012;1;6;49;4;0;20;49;3;19;0;0;0;73;95
Oct to Dec 2012;1;20;75;4;2;25;75;1;16;0;0;0;59;76
Jan to Mar 2013;0;8;51;7;0;20;51;0;15;0;2;0;73;90
Apr to Jun 2013;0;11;36;3;0;5;36;1;10;2;0;0;60;73
Jul to Sep 2013;0;8;55;2;0;29;55;3;21;1;0;0;86;111
Oct to Dec 2013;0;5;39;4;2;11;39;4;19;0;0;0;76;99
Jan to Mar 2014;0;9;38;6;0;14;38;3;35;1;0;0;74;113
Apr to Jun 2014;0;14;36;3;2;10;36;2;24;0;0;0;61;87
Jul to Sep 2014;0;16;54;3;4;18;54;1;29;0;0;1;74;105
Oct to Dec 2014;0;10;37;2;1;6;37;2;47;0;0;0;64;113
Jan to Mar 2015;0;15;56;4;1;18;56;0;50;3;0;0;62;115
Apr to Jun 2015;1;13;106;2;0;17;49;0;38;1;0;1;95;135
Jul to Sep 2015;0;14;74;2;2;13;46;3;25;0;0;0;75;103
Oct to Dec 2015;0;4;55;3;0;14;49;1;26;0;0;0;57;84
Jan to Mar 2016;1;9;74;4;2;20;59;0;41;1;0;0;61;103
Apr to Jun 2016;1;4;55;6;0;28;54;0;14;1;0;0;69;84
Jul to Sep 2016;0;6;63;5;3;14;47;1;9;2;0;0;80;92
Oct to Dec 2016;1;6;76;3;1;12;37;1;33;2;0;0;69;105
Jan to Mar 2017;0;15;50;10;1;16;60;0;35;1;0;0;43;79
Apr to Jun 2017 ;0;7;70;3;0;14;40;1;51;0;0;0;47;99
Jul to Sep 2017 ;0;10;85;0;0;13;40;1;53;0;1;1;60;116
Oct to Dec 2017 ;0;4;55;5;3;11;39;0;53;0;0;0;33;86
Jan to Mar 2018 ;1;2;55;2;1;11;34;2;41;1;0;0;42;86
Apr to Jun 2018 ;0;6;79;6;3;10;49;1;54;0;1;0;54;110
Jul to Sep 2018 ;0;9;101;3;1;16;43;0;71;0;0;0;61;132
Oct to Dec 2018 ;0;2;81;2;0;7;24;1;50;0;0;0;61;112
Jan to Mar 2019 ;0;8;79;4;0;11;38;0;66;1;1;0;42;110
Apr to Jun 2019 ;0;5;73;0;4;14;40;0;52;0;0;0;52;104
Jul to Sep 2019 ;0;9;79;1;1;10;30;0;53;3;0;0;54;110
Oct to Dec 2019 ;2;10;64;2;0;14;36;0;60;1;0;0;34;95
Jan to Mar 2020 ;0;7;89;4;0;8;38;0;67;0;0;0;53;120
Apr to Jun 2020 ;0;3;12;0;1;1;13;0;24;0;0;1;18;43
Jul to Sep 2020 ;0;4;46;0;0;3;11;0;22;2;0;0;53;77
Oct to Dec 2020 ;0;4;49;1;0;3;14;0;21;2;0;0;57;80
Jan to Mar 2021;0;3;35;4;1;2;25;0;20;1;1;0;44;66
Apr to Jun 2021;1;9;40;2;0;6;29;1;21;0;1;0;48;71
Jul to Sep 2021 ;0;2;31;3;0;4;16;0;25;3;0;0;34;62
Oct to Dec 2021 ;0;4;46;2;0;5;20;0;29;0;0;0;48;77
Jan to Mar 2022 ;0;6;40;0;0;4;20;0;35;1;0;0;35;71
Apr to Jun 2022;1;5;42;1;0;6;19;0;35;1;0;0;37;73
Jul to Sep 2022;1;8;42;0;0;18;36;0;36;1;1;0;35;73
Oct to Dec 2022;2;3;33;0;1;10;21;0;29;1;0;0;34;64
Jan to Mar 2023;0;3;52;2;1;9;23;0;40;2;0;0;41;83
